1,2,3,4,5,6,7,8,9,10,11,Male,Female,Age,Crete,Cyprus,Peloponnese,Central Greece,Thessaly,Epirus,Macedonia,Thrace,Pontos,Dodekanisa,Cyclades,Sporades,Ionnian,North_Agean,Other,Place_extra,Elementary,High School,Senior School,IEK,AEI-TEI,Post-grad_PhD,Music relation (Y),Music relation (N),Music rel (extra),Classic,Jazz/Blues,Pop,Rock_Metal,Electronical,Greek Music,Rap_Hip-Hop
nostalgia,sorrow,nostalgia,anticipation,nostalgia,boredom,annoyance,rage,annoyance,annoyance,anticipation,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
joy,sorrow,nostalgia,boredom,annoyance,annoyance,nostalgia,sorrow,surprise,boredom,boredom,1,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
annoyance,nostalgia,annoyance,nostalgia,annoyance,boredom,annoyance,annoyance,surprise,annoyance,annoyance,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
nostalgia,sorrow,boredom,boredom,boredom,sorrow,boredom,boredom,boredom,boredom,boredom,0,1,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
annoyance,boredom,annoyance,boredom,boredom,boredom,annoyance,annoyance,rage,boredom,annoyance,1,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
surprise,nostalgia,annoyance,annoyance,annoyance,boredom,annoyance,nostalgia,annoyance,rage,rage,0,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
nostalgia,nostalgia,anticipation,joy,sorrow,sorrow,joy,sorrow,joy,sorrow,nostalgia,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
nostalgia,nostalgia,sorrow,nostalgia,nostalgia,boredom,anticipation,nostalgia,nostalgia,boredom,nostalgia,0,1,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
surprise,nostalgia,sorrow,sorrow,anticipation,nostalgia,nostalgia,anticipation,joy,nostalgia,boredom,0,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
sorrow,nostalgia,boredom,nostalgia,boredom,boredom,boredom,boredom,boredom,boredom,boredom,1,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
nostalgia,sorrow,boredom,nostalgia,surprise,nostalgia,sorrow,boredom,surprise,boredom,nostalgia,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
joy,nostalgia,sorrow,surprise,annoyance,nostalgia,boredom,joy,boredom,annoyance,annoyance,1,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
nostalgia,nostalgia,annoyance,boredom,rage,sorrow,boredom,annoyance,annoyance,sorrow,boredom,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
boredom,boredom,boredom,boredom,boredom,boredom,boredom,boredom,boredom,boredom,boredom,1,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
boredom,nostalgia,boredom,nostalgia,boredom,sorrow,boredom,boredom,surprise,sorrow,boredom,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
boredom,nostalgia,annoyance,boredom,annoyance,surprise,joy,joy,joy,nostalgia,nostalgia,0,1,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
sorrow,nostalgia,boredom,sorrow,boredom,sorrow,anticipation,nostalgia,sorrow,sorrow,boredom,0,1,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
boredom,nostalgia,sorrow,boredom,boredom,anticipation,boredom,nostalgia,surprise,boredom,sorrow,0,1,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
nostalgia,nostalgia,nostalgia,nostalgia,sorrow,nostalgia,nostalgia,anticipation,joy,nostalgia,sorrow,1,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
nostalgia,nostalgia,sorrow,boredom,boredom,nostalgia,joy,nostalgia,joy,nostalgia,boredom,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
anticipation,nostalgia,sorrow,joy,boredom,sorrow,anticipation,nostalgia,joy,boredom,nostalgia,1,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
boredom,nostalgia,sorrow,joy,surprise,sorrow,anticipation,surprise,boredom,sorrow,boredom,0,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
nostalgia,sorrow,nostalgia,anticipation,boredom,sorrow,joy,nostalgia,nostalgia,sorrow,surprise,0,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
anticipation,nostalgia,sorrow,boredom,annoyance,sorrow,joy,boredom,boredom,nostalgia,sorrow,0,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
boredom,nostalgia,sorrow,surprise,boredom,sorrow,nostalgia,anticipation,joy,boredom,boredom,1,0,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
nostalgia,nostalgia,sorrow,nostalgia,nostalgia,nostalgia,joy,surprise,joy,sorrow,nostalgia,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
boredom,nostalgia,nostalgia,nostalgia,boredom,sorrow,sorrow,sorrow,joy,sorrow,boredom,1,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
